Venue_Name,Bedroom,Minimum_Price,Maximum_Price,Guest_Include,Venue_Type,Dining_Capacity,Reciption_Capacity,Stablished
Brookfield Barn,09:00 AM,Barn,138,200,7,14,Honeymoon Suite,
Inglewood Manor Hotel,"£8,000",£80,£130,£80,£130,2,"£2,500",29
Dunston Hall,169,£67,£108,30,Country House,250,300,Yes
The Villa Wrea Green,Honeymoon Suite,£60,£85,250,350,31,64,Yes
Colwick Hall Hotel,2,£25,50,City Hotel,90,500,16,Yes
The Pumping House,10:00 AM,unique industrial vibe ,140,200,10,30,Honeymoon Suite,3
Lucknam Park Hotel and Spa,110,£87,£185,£195,25,Country House,110,11:00 PM
Hampton Court House,2001,Country House,230,300,Changing Only,08:00 AM,12:00 AM,
Kings Place,Changing Only,£120,£150,100,City Centre Modern Venue,180,300,6
Nurstead Court,80,£65,£80,£73,£87,30,"£4,350",8
The Reid Rooms,09:00 AM,Barn,150,220,8,20,Honeymoon Suite,
Searcys at The Gherkin,02:00 PM,£165,£165,75,City Hotel,140,260,
Longlands Inn and Restaurant,90,£50,£62,25,"£3,150","£4,500",60,11:00 AM
Smallfield Place,11:00 AM,Country House,60,80,7,14,Honeymoon Suite,
Crow's Hall,Between 10 and 30,Country House,200,600,3,6,2012,
East Bridgford Hill,12,£80,£250,6,Country House,100,135,2010
Oakwell Hall Country Park,More than 50,Barn,110,110,09:00 AM,11:00 PM,1997,
Safari Lodge - Woburn Safari Park,12:00 AM,Museum,160,220,55,110,Honeymoon Suite,
Golf World Stansted,1995,Golf Course,78,150,Changing Only,01:00 PM,01:00 AM,
Atmosphere 29 ,Changing Only,£71,£127,30,City Hotel,300,500,Yes
"The Sculpture Gallery, Woburn Abbey",Changing Only,£145,£188,60,Stately Home,248,248,Yes
Oxford Town Hall,,Town Hall,300,500,More than 50,Yes,,
Deene Park,Between 10 and 30,Country House,150,150,08:00 AM,12:00 AM,2015,
Carden Park Hotel - Cheshire's Country Estate,Honeymoon Suite,£65,£100,60,320,320,198,
Hazel Gap Barn,More than 50,Barn,150,150,09:00 AM,01:00 AM,2017,
Brinkburn Northumberland,2010,Country House,120,120,14,28,Honeymoon Suite,
Upwaltham Barns,Yes,Barn,150,150,1,2,Honeymoon Suite,
Little Quarme Cottages,08:00 AM,Garden,130,150,11,22,Standard Room,3
Newbury Racecourse,36,£60,£125,30,Sporting Venue,700,700,Yes
The Clifton Club,More than 50,Historic/City Centre ,100,150,01:00 PM,12:00 PM,1818,
Yarnton Manor,Yes,Country House,80,180,40,Honeymoon Suite,11:00 PM,
Alrewas Hayes Events Ltd,2008,Country House,110,220,11,22,Honeymoon Suite,
"Grove House, London",,Stately Home,150,200,30,More than 50,Yes,
The Little Theatre Cinema,2008,£575,"£1,150",110,Cinema,11:00 AM,03:00 PM,
Rogerthorpe Manor Hotel,Country House,£48,£60,50,"£4,495","£4,995",50,11:00 PM
Langrish House,26,£26,£73,Country House,80,100,13,
"The Oak Barn, Frame Farm",08:00 AM,Barn,135,200,9,18,Honeymoon Suite,2
Q vardis & the mallard suite,More than 50,£18,20,Wedding/Event Venue,150,480,1972,
Horton Grange Hotel,18,£46,£65,25,96,150,9,More than 50
Hard Days Night Hotel,110,£40,£100,4,City Hotel,120,180,Yes
Langstone Quays Resort,Honeymoon Suite,"£2,995","£7,395",60,120,200,148,
Lazaat Hotel,Standard Room,"£1,500","£4,995",40,320,400,43,
Belmond Le Manoir aux Quat'Saisons,12:30 AM,Country House,50,50,32,Honeymoon Suite,09:00 AM,
Hargate Hall,04:00 PM,Country House,140,140,22,77,Standard Room,2
Weddings at Shuttleworth,31,£50,£200,2,Country House,150,200,More than 50
Standon Hall,2019,Country House,75,120,Honeymoon Suite,12:00 PM,01:00 AM,
Robert Denholm House,1994,Country House,70,4500,Changing Only,10:00 AM,12:00 AM,
Blackfriars Restaurant,Pub,£57,£120,12,"£1,000","£6,000",50,12:00 AM
Poundon House,Standard Room,£1,Country House,300,300,9,18,
Aviator ,Honeymoon Suite,£85,£105,City Hotel,150,150,169,
"Magnolia Park Hotel, Golf and Country Club","£12,000",£15,£55,£69,£99,50,"£6,000",80
Doubletree by Hilton Cheltenham,"£11,000",£15,£100,£15,£80,2,£400,Honeymoon Suite
Weddings in Heritage Parks,07:00 AM,£700,£800,35,Garden,100,120,1
Aldwickbury Park Golf Club,,"£2,150","£5,000",50,Golf Course,180,250,
Kings Weston House,120,£32,£44,"£6,000",60,Country House,120,Yes
The Barn at Stratford Park,68,"£4,750",50,Barn,120,165,32,Yes
The Runnymede-on-Thames,Standard Room,£105,£145,50,250,300,180,
Cadmore Lakeside Hotel,16,£35,40,"£7,000","£20,000",90,150,Less than 10
Woodhall Spa Manor,10:00 AM,Country House,135,180,8,20,Honeymoon Suite,3
New Place,200,£75,£110,60,110,150,110,More than 50
East Dene,110,£2,£36,"£3,540","£9,360",Country House,48,12:00 AM
"The Mansion, Leeds",Changing Only,£65,£110,20,Stately Home,140,200,20
Blotts Country Club,Changing Only,£48,£155,50,Country House,350,350,Yes
Gilbert White and The Oates Collections,11:00 PM,Barn,100,150,3,6,08:00 AM,
The Lowry,More than 50,Arts Venue ,150,200,10:00 AM,01:00 AM,2000,
Halle St Peter's,,Repurposed Church,230,230,12:00 PM,2014,Yes,
Gildings Barns,1994,Barn,110,130,Changing Only,08:23 PM,11:00 PM,
Willington Hall Hotel,60,£54,£71,£71,£125,"£4,270","£7,470",30
Pekes Manor Estate,01:00 PM,Country House,30,60,25,60,Standard Room,12
Beaconside House ,50,"£15,995","£25,495",Garden,150,200,17,More than 50
Macdonald Compleat Angler,Honeymoon Suite,£80,£250,48,120,120,64,
Bath Function Rooms,100,£15,£27,£45,£55,50,Old Railway Station ,More than 50
Rumbolds Farm,2006,Barn,112,180,8,20,Honeymoon Suite,
Port Lympne Hotel & Reserve,81,£14,£45,"£8,350","£24,500",180,250,25
Forest of Arden Marriott Hotel & Country Club,Standard Room,£65,£120,350,350,214,400,
The Wood Norton,Honeymoon Suite,£99,50,Country House,120,180,30,
Talton Lodge,2008,Country House,115,135,15,50,Honeymoon Suite,
One Marylebone,More than 50,City Wedding Venue,300,500,09:00 AM,12:00 PM,2008,
Dartington Hall,50,£115,£160,50,Country House,150,250,2006
Ripley Castle,Castle,£85,£165,70,"£8,000","£8,250",50,More than 50
Kingston Maurward,Yes,Country House,130,200,09:00 AM,2000,More than 50,
Curradine Barns,More than 50,Barn,150,150,9,20,Honeymoon Suite,
Merewood Country House Hotel,20,"£6,030","£11,300",70,Country House,120,200,More than 50
Lartington Hall,09:00 AM,Country House,150,250,12,24,Honeymoon Suite,20
Dale Hill Hotel and Golf Club,"£3,800",£15,£32,£59,£76,50,"£2,950",50
Rookery Hall Hotel & Spa,Country House,"£5,250","£18,000",50,"£6,750","£20,000",50,08:00 AM
House On The Brooks,7,£140,£780,40,Country House,40,600,1876
"The Midland Hotel, Bradford",350,"£1,095",£30,£50,£99,30,300,02:00 AM
Shillingstone House,Between 10 and 30,Country House,150,150,09:30 AM,12:00 PM,2012,
The Copse Country House,10:00 AM,Country House,120,120,9,18,Honeymoon Suite,4
Cranberries Hideaway,"£18,000",£12,£60,£30,£70,50,"£3,995",32
Yurtcamp,140,£18,£30,£65,£100,35,Garden,12:00 PM
"Best Western Plus Windmill Village Hotel, Golf Club & Spa","£4,495",£23,£37,£24,£37,20,"£3,895",105
Lakeside Hotel,160,£85,£105,2,80,100,74,
Shustoke Farm Barns,,Barn,140,200,09:00 AM,01:00 AM,More than 50,
Sandon Hall,More than 50,Country House,120,380,Changing Only,09:00 AM,01:00 AM,
Milsom Kesgrave Hall,12:00 PM,200,350,23,55,Honeymoon Suite,09:00 AM,
Buckland Tout-Saints Hotel,200,£35,£45,"£5,999","£6,999",50,120,12:00 PM
Barnston Lodge,,Country House,300,300,Changing Only,,,
The Ocean Suite on Eastbourne Pier,160,£60,£200,50,"£3,000",50,Eastbourne Pier,2015
Dunedin Country House,90,£35,£96,"£1,995","£8,995",60,Country House,12:00 PM
Bridwell Park Estate,12:00 PM,Country House,150,200,18,40,Honeymoon Suite,
Holiday Inn Bolton Centre,08:00 AM,£59,£79,350,350,132,Honeymoon Suite,
Delbury Hall,12:00 PM,Barn,135,160,10,22,Honeymoon Suite,
Mercure Burton ,50,£70,"£4,500","£6,500",50,100,160,More than 50
Carus Green Golf Club,Golf Course,£40,£70,50,"£2,560","£5,000",50,Standard Room
Maunsel House,12:00 AM,Country House,170,250,33,66,Honeymoon Suite,
Holiday Inn Washington,4,"£1,300","£3,225",40,110,150,136,Yes
Rivervale Barn,10:00 AM,Barn,150,200,1,2,Honeymoon Suite,
The Landmark London,300,£125,£432,10,City Hotel,504,750,More than 50
Westerham Golf Club,1987,Golf Course,230,250,Changing Only,12:00 AM,12:00 PM,
Darwin Lake Weddings,09:00 AM,Lakeside Venue,130,150,51,110,Honeymoon Suite,
Bolton Castle,More than 50,Castle,120,240,09:00 AM,12:00 PM,1399,
Down Hall Hotel & Spa,09:00 AM,Country House,180,230,100,200,Honeymoon Suite,3
Diane Crouchen,150,£25,£75,2,"£3,800","£10,500",75,08:00 AM
Walton Castle,01:00 AM,Castle,200,100,8,Honeymoon Suite,08:00 PM,
The Petersham Hotel,Honeymoon Suite,£105,£145,15,30,60,58,Yes
Pynes House,11:00 AM,Country House,130,12,24,Honeymoon Suite,02:00 PM,
Nettle Hill,9,£50,£150,60,Country House,180,200,1985
The Racquet Club Hotel and Ziba Restaurant,16,£15,£80,City Hotel,138,200,8,Yes
Best Western Shrubbery Hotel,"£12,000",£45,£75,£35,£75,10,"£4,995",55
Webbington Hotel and Spa,1000,£25,£40,4,"£1,695",50,600,More than 50
The Watermill,71,"£5,450",65,"£4,500",65,500,500,1960
Chaffeymoor Grange,2007,Country House,80,80,10,20,Honeymoon Suite,
Worsley Park Marriott Hotel & Country Club,More than 50,£65,£78,180,250,158,1998,
West Heath,170,£35,£50,£39,£50,Country House,110,Yes
The Old Vicarage,"£10,000",£10,£50,£10,£50,60,"£4,000",2
The Holford Estate,08:00 AM,Barn,100,150,5,10,Standard Room,
Eastnor Castle,11:00 AM,Castle,150,150,12,23,Honeymoon Suite,10
The Crow's Nest @The Waterfront,"£7,820",£39,£49,£60,£80,40,"£4,450",2007
Hawkwell House Hotel,77,£40,£95,50,Country House,140,200,Yes
The Great Victoria Hotel,280,£51,£89,£50,"£3,000",60,150,More than 50
Middle Aston House,50,£30,£50,£80,£250,20,Country House,08:00 AM
Lion Quays Waterside Resort,164,£30,£70,22,350,400,82,2
Stirk House Hotel,33,£90,£110,65,Country House,250,250,4
"Castle Hotel, Windsor - MGallery Hotel Collection",260,£80,£99,"£3,250","£3,250",50,260,Yes
The Hop Farm,"£8,750",£25,£75,£25,£68,40,"£3,500",Changing Only
Hotel Tresanton,60,£60,£75,City Hotel,70,90,30,More than 50
National Railway Museum,05:00 PM,£120,£161,60,Museum,500,1000,6
Somerley,10:00 AM,Stately Home,140,300,9,25,Honeymoon Suite,7
Mallory Court Country House Hotel and Spa,150,£85,£119,2,"£6,995",70,Country House,01:00 AM
"The Grand Hotel, Eastbourne",Honeymoon Suite,£94,£188,2,180,400,152,3
The Spinnaker,"£10,000",£32,£50,£50,£95,50,"£3,500",14
Tatton Park,4,Country House,350,350,08:00 AM,12:00 PM,More than 50,
Northbrook Park,,Country House,250,250,40,80,,
Brobury House,06:00 AM,Country House,150,200,7,14,Honeymoon Suite,
The Worthing Dome,140,£6,£59,"£2,299","£2,699",50,Museum,More than 50
The Palace Hotel Buxton,250,£30,10,"£1,999","£4,500",50,250,12:00 PM
The Winchester Hotel and Spa,120,£37,£75,50,"£2,900","£5,499",City Hotel,12:00 AM
Camp Katur,09:00 AM,Garden,150,400,17,70,Honeymoon Suite,8
Rothamsted Manor,Changing Only,£119,£199,50,Country House,84,120,Yes
The Conservatory at the Luton Hoo Walled Garden,,Garden,400,400,10:00 AM,12:00 PM,More than 50,
Coombe Lodge,,Country House,160,Yes,,,,
Henry Moore Studios & Gardens,More than 50,Barn,100,120,Changing Only,10:00 AM,12:00 PM,
Bunny Hill Weddings,12:00 AM,Barn,200,349,8,23,Honeymoon Suite,12
Glendower Hotel,60,£50,£65,"£3,350",50,140,180,
Fawsley Hall Hotel & Spa,120,"£6,000",40,Country House,150,200,60,
Camden Place,10:00 AM,£65,£99,70,Country House,98,150,
The Spa Hotel,More than 50,£56,£118,228,300,70,Honeymoon Suite,
Weddings In The Glade at Rosliston Forestry Centre,12:00 PM,Garden,150,250,10,Standard Room,09:00 AM,
Barton Grange Hotel,Standard Room,£64,£80,180,220,51,102,
Shendish Manor Hotel & Golf Course,2,£87,£103,Country House,320,350,70,
The Engine Shed Wetherby,01:00 PM,"£5,295","£6,195",80,City Hotel,170,450,
Lains Barn,Changing Only,£20,£80,60,Barn,180,250,25
The Atrium Clitheroe castle,"£6,000",£20,£50,£30,£50,40,"£3,000",Changing Only
Mercure Leeds Parkway Hotel,118,£45,£65,30,City Hotel,200,300,More than 50
Goldsborough Hall,11:00 AM,Stately Home,110,250,16,40,Honeymoon Suite,40
Arnos Vale Cemetery ,Yes,Garden,100,140,10:00 AM,11:00 PM,More than 50,
Lyde Court,More than 50,Barn,200,400,8,75,Honeymoon Suite,
Boship Lions Farm Hotel,98,£55,£75,100,100,200,44,More than 50
The Old Swan Hotel,"£6,190",£37,£40,£52,£65,10,"£3,200",Honeymoon Suite
"Rufford Mill, Rufford Abbey Country Park",12:00 PM,£12,£38,Country House,80,150,09:00 AM,
Barbican Centre,10:00 AM,£145,£175,100,City Hotel,180,450,
Stone Barn,Yes,Barn,196,250,09:00 AM,01:00 AM,More than 50,
Seckford Hall Hotel,70,£80,£110,50,160,200,35,Yes
Buckinghamshire County Museum,Less than 10,Museum,150,200,10:00 AM,12:00 PM,2018,
30 Pavilion Road,City Hotel,£80,£200,£150,60,£180,60,12:00 PM
Brympton House,12:00 AM,Country House,228,228,26,60,Honeymoon Suite,
Elm Farm Country House,450,£2,£60,"£2,000",50,Country House,106,12:00 PM
The Amazing Wedding Company at York Maze,More than 50,Barn,150,200,08:00 AM,03:00 PM,2012,
The Woodman Inn,50,"£3,199","£9,999",Pub,160,200,19,
Hamswell House,2005,Country House,240,240,Changing Only,09:00 AM,01:00 AM,
Healds Hall Hotel,"£4,500","£1,450","£2,100",£45,£55,60,"£3,750",24
Le Gothique,Pub,£90,£90,20,£90,£90,150,12:00 PM
Sandburn Hall,12:00 PM,£50,80,Golf Course,150,200,08:00 AM,
Blacknest Golf and Country Club,1993,Golf Course,150,220,5,10,Honeymoon Suite,
The Bell in Ticehurst ,90,£95,£109,"£6,000","£7,200",50,Pub,08:00 AM
Cricklade House,45,£99,£150,20,Country House,120,120,More than 50
Whirlowbrook Hall,Changing Only,"£4,195","£11,000",40,Country House,120,180,
The Old Ship Hotel ,Honeymoon Suite,£59,£109,180,250,154,308,Yes
The Charlecote Pheasant Hotel,"£4,195",£41,£79,£44,£58,4,"£3,325",2
Osmaston Park,More than 50,Garden,500,500,09:00 AM,12:00 PM,2008,
Lea Marston Hotel,120,£35,£110,40,"£2,020",40,120,12:00 AM
Devon Hotel,120,£35,£47,2,120,160,60,More than 50
The Alnwick Garden,500,£29,£55,"£6,000","£15,000",Garden,200,3
Frasers,22,£75,£95,Barn,150,200,10,Yes
Clock Barn,Yes,Barn,160,160,9,Honeymoon Suite,More than 50,
Isaacs on the Quay,Honeymoon Suite,£325,£555,80,150,4,14,
Holiday Inn Leeds - Brighouse,180,£15,£45,10,"£2,019","£5,600",120,06:00 AM
The County Hotel,150,£65,£85,20,"£2,995","£5,000",55,06:00 AM
Eaves Hall,Honeymoon Suite,£88,60,Country House,120,250,30,Yes
Hornington Manor,19,"£6,900","£13,950",160,Barn,160,200,2013
The Balmer Lawn Hotel & Saltus Spa,Honeymoon Suite,£75,£110,Country House,120,240,54,
Stonehouse Court Hotel,Honeymoon Suite,£40,Country House,120,150,36,72,
Sir Max Aitken Museum,1979,Museum,80,120,Changing Only,12:00 PM,12:00 AM,
Grim's Dyke Hotel,120,£80,£195,50,"£3,999",50,88,More than 50
Heaton Mount,40,£106,£152,50,Country House,80,150,Yes
"Upper House, Derbyshire",10:00 AM,Castle,130,130,12,28,Honeymoon Suite,
Leonardo Royal Grand Harbour Hotel,08:00 AM,£39,£89,400,400,173,Standard Room,4
DoubleTree by Hilton Hotel Nottingham-Gateway,08:00 AM,City Hotel,230,230,105,262,Honeymoon Suite,1
DoubleTree by Hilton Harrogate Majestic Hotel & Spa,317,£30,£45,50,280,500,184,
Doxford Hall Hotel and Spa,60,£79,£115,30,"£1,000","£12,995",Country House,More than 50
Hummingbird Hall Jamaica (UK office),Standard Room,"£5,300","£10,000",60,Country House,60,60,Yes
The Grand Hotel Brighton,201,£95,£120,50,City Hotel,450,500,More than 50
Mary Rose Museum,2013,Museum,100,150,Changing Only,05:00 PM,12:00 PM,
"Aston Hall, Birmingham",,Country House,150,150,Yes,,,
The Tudor Barn,1995,Barn,130,180,Changing Only,10:00 AM,12:00 PM,
The Crossways,48,£69,£129,60,200,300,22,More than 50
Royal Station Hotel,12:00 PM,City Hotel,160,200,145,Honeymoon Suite,11:00 AM,
All Manor of Events,10:00 AM,£40,50,Barn,220,400,8,
Riverview Manor,Changing Only,£20,50,£50,Garden,425,500,Yes
The Roundhouse,More than 50,City Hotel,680,680,02:00 PM,01:00 AM,2009,
Kegworth Hotel and Conference Centre,150,£22,£35,10,£999,"£4,695",50,07:00 AM
The Milestone Hotel,2017,30,40,56,Honeymoon Suite,7:00 AM,12:00 AM,
The Old Hall,10:00 AM,Country House,170,250,16,33,Honeymoon Suite,9
"Swan Hotel, Wells",12:00 PM,90,200,50,100,Honeymoon Suite,09:00 AM,
The Out Barn at Clough Bottom,2013,Barn,140,200,1,2,Honeymoon Suite,
The Old Deanery,11:00 AM,Country House,100,150,11,25,Honeymoon Suite,
Regent's University London,08:00 AM,£95,£155,50,City Hotel,400,500,5
Andaz London Liverpool Street Hotel,300,£68,£120,£99,£165,10,220,01:00 AM
Capesthorne Hall,09:00 AM,Stately Home,160,180,10,24,Standard Room,
Dunchurch Park Hotel,Honeymoon Suite,£45,60,400,450,91,177,
Manor Farm Barn,Between 10 and 30,Barn,120,150,10:00 AM,12:00 PM,2015,
"Bowood Hotel, Spa & Golf Resort",94,£80,£120,45,160,160,47,More than 50
Ardington House,,Country House,200,200,12,25,Changing Only,
voco Oxford Thames,Honeymoon Suite,£98,£134,50,140,200,104,
Le Petit Chateau,More than 50,160,200,29,58,Honeymoon Suite,2016,
Casa Brighouse,01:00 PM,Hotel/ Restaurant,200,200,10,23,Honeymoon Suite,
The Barn,More than 50,Barn,120,180,10:00 AM,12:00 AM,1998,
Blenheim Palace,1950,Stately Home,300,400,Changing Only,05:00 PM,01:00 AM,
Keele Hall,More than 50,Country House,450,450,11:00 AM,12:00 PM,1962,
Bentley Brook Inn,Honeymoon Suite,£25,£30,130,200,11,28,10
Exton Park,,Country House,150,1995,More than 50,Yes,10,
The Tithe Barn at Browsholme Hall,1900,Barn,120,180,12,40,Honeymoon Suite,
Dovecote Events,12:00 AM,Barn,120,150,1,2,09:00 AM,
The Hayloft,01:00 AM,Barn,130,130,5,10,Honeymoon Suite,6
The Old Barn at Esholt,120,£36,£48,"£1,700","£2,000",40,Barn,More than 50
Holiday Inn Leicester - Wigston,169,"£3,700","£5,000",40,350,350,79,More than 50
Macdonald Berystede Hotel & Spa,Honeymoon Suite,£45,£65,60,250,300,126,
Macdonald Frimley Hall Hotel & Spa,Country House,£90,£115,50,"£3,499","£3,499",50,12:00 AM
Fishmore Hall,15,£41,£150,4,Country House,130,250,Yes
The Lensbury,171,£102,£145,50,Country House,190,230,Yes
Limpley Stoke Hotel,120,"£1,600","£2,850",50,120,120,61,3
Home Farm Events,2014,Marquee on a farm,150,200,Changing Only,10:00 AM,01:00 AM,
Manor of Groves,Honeymoon Suite,£50,£130,Country House,500,500,80,
George Vaults,09:00 AM,£50,£70,10,Pub,50,70,
Healey House Hotel & Restaurant,100,£55,£75,30,"£3,600","£3,600",80,1985
Bearwood Lakes Golf Club,120,£18,£50,£80,£105,50,Golf Course,More than 50
Somerford Hall,,Country House,102,150,17,Honeymoon Suite,More than 50,
Holiday Inn Basildon,350,£15,£50,£40,£70,10,300,01:00 AM
Wadhurst Castle,1900,Castle,104,130,Changing Only,09:00 AM,12:00 AM,
Huntlands Farm,Country House,£100,£150,80,"£10,000","£15,000",80,Honeymoon Suite
The Soul Camp: The Soul House,2006,Country House,150,500,4,16,Changing Only,
Howsham Hall,60,£57,£82,£57,60,"£6,000","£20,000",28
Hoar Cross Hall,96,£40,£100,50,Country House,120,220,5
Bluebird Chelsea,Pub,£47,£70,£70,£90,"£20,000",50,More than 50
George & Dragon Hotel,"£7,500",£45,£65,£45,£65,50,"£3,636",34
The Royal Horticultural Halls,1904,Hall,480,650,Changing Only,08:00 AM,11:59 PM,
St Martin's Priory - Canterbury's Hidden Gem...,"£13,995",£35,£55,£140,£175,80,"£11,495",400
Best Western Hotel St Pierre,108,"£2,020","£3,499",30,120,160,54,More than 50
The Beatles Story,10:00 AM,£25,£35,25,Museum,60,90,
Augill Castle,14,"£6,700","£13,840",34,Castle,46,60,More than 50
Best Western Forest Hills Hotel,120,£25,£50,50,"£1,500","£5,790",120,09:00 AM
Dulwich Picture Gallery,Between 10 and 30,Museum,120,120,04:00 PM,11:00 PM,1811,
"Macdonald Hill Valley Hotel, Golf & Spa",3,£40,£150,50,200,230,80,More than 50
Careys Manor Hotel & SenSpa,150,£20,£40,£120,£160,60,100,11:00 PM
Horstedpond Farm,2018,"£2,000",150,Wedding Field and Woodland Chapel,2000,09:00 AM,12:00 PM,
